Source,Target,Weight,Relationship,Citation
Stephen Bannon,Julia Hahn,1,"""Hahn is a protégée of Stephen Bannon,"" per The New Yorker",http://www.newyorker.com/magazine/2017/02/13/becoming-steve-bannons-bannon
Stephen Bannon,Jennifer Mercer,1,"Bannon served as the Mercer family's ""political advisor,"" per the Washington Post",https://www.washingtonpost.com/graphics/politics/mercer-bannon/
Stephen Bannon,Erik Prince,1,"""Prince has a close relationship with Breitbart News and Steve Bannon,"" per The Intercept",https://theintercept.com/2017/01/17/notorious-mercenary-erik-prince-is-advising-trump-from-the-shadows/
Eric Holcomb,Kellyanne Conway,1,Conway provided consulting services to Holcomb,https://www.documentcloud.org/documents/3534450-Conway-Kellyanne.html
George T. Conway Iii,Kellyanne Conway,1,Married,General knowledge
Rudy Giuliani,Ken Kurson,1,Worked on 2008 presidential campaign,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
Rudy Giuliani,Wilbur Ross,1,Privatization advisor when Giuliani was mayor,http://www.salon.com/2016/11/21/wilbur-ross-jr-rumored-to-be-donald-trumps-choice-for-commerce-secretary-owned-a-mine-where-12-miners-died-in-2006_partner/
Wilbur Ross,James Uthmeier,1,Special advisor,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Alan Hammer,Charles Kushner,1,"""has long worked with"" Kushner, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
Charles Kushner,Dara Orbach,1,Parent/child,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Charles Kushner,Murray Kushner,1,Siblings,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
Charles Kushner,Jim Mcgreevey,1,"""the financial force"" behind the former governor's campaign, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
Charles Kushner,Joshua Kushner,1,Parent/child,General knowledge
Charles Kushner,Nicole Kushner Meyer,1,Parent/child,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Charles Kushner,Seryl Kushner,1,Married,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Charles Kushner,Esther Kushner,1,Siblings,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
Benjamin Netanyahu,Charles Kushner,1,"Longtime family friends, per Reuters",http://www.reuters.com/article/us-usa-trump-israel-scene-idUSKBN15U2PA
Sally Priebus,Reince Priebus,1,Married,General knowledge
Reince Priebus,Katie Walsh,1,Former deputy chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/ | http://www.politico.com/story/2017/03/trump-deputy-chief-of-staff-katie-walsh-moving-to-outside-political-groups-236706
Reince Priebus,Mallory Hunter,1,Executive assistant,https://www.documentcloud.org/documents/3534136-Hunter-Mallory.html
Sean Cairncross,Reince Priebus,1,Senior advisor,http://www.politico.com/story/2017/01/trump-transition-white-house-hires-233863
Scott Walker,Andrew Bremberg,1,Policy director for Walker's campaign,http://www.modernhealthcare.com/article/20161111/NEWS/161119989?utm_source=modernhealthcare&utm_medium=email&utm_content=20161111-NEWS-161119989&utm_campaign=mh-alert
Mike Ferguson,Andrew Bremberg,1,"Bremberg ""is a lifelong friend"" of Ferguson, a former U.S. House representative, per Stat",https://www.statnews.com/2016/11/15/trump-influencers-health-care/
Mitch Mcconnell,Andrew Bremberg,1,Policy advisor and counsel on nominations,https://www.linkedin.com/in/andrew-bremberg-7170938
Julian Assange,"Roger J. Stone, Jr.",1,"Stone told the Guardian that he and Assange have a ""mutual friend"" who served as a backchannel for advance notice of WikiLeaks' Clinton-related releases",https://www.theguardian.com/us-news/2016/nov/02/trump-adviser-clinton-emails-wikileaks-roger-stone
Albert Ross Sr.,Omarosé Onee Manigault,1,Mentored by,http://www.omarosa.com/#
Omarosé Onee Manigault,H. B. Hicks,1,Mentored by,http://www.omarosa.com/#
"Richard Marvin ""dick"" Devos Jr.",Betsy Devos,1,Married,General knowledge
Betsy Devos,Erik Prince,1,Siblings,https://theintercept.com/2017/01/17/notorious-mercenary-erik-prince-is-advising-trump-from-the-shadows/
Betsy Devos,Richard Devos,1,Parent/child,General knowledge
Mike Pence,John Gray,1,Gray worked for Pence,http://thehill.com/policy/finance/314991-trump-team-prepares-dramatic-cuts
Mike Pence,Jen Pavlik,1,Deputy chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Mike Pence,Thomas E. Wheeler,1,Wheeler worked for Pence,http://www.motherjones.com/politics/2017/02/justice-department-thomas-wheeler-presentations
Mike Pence,Russ Vought,1,Former aide,http://thehill.com/policy/finance/314991-trump-team-prepares-dramatic-cuts
Mike Pence,Ryan Jarmula,1,"Jarmula ""served as a member of [Pence's] staff for a number of years,"" per the transition team",https://greatagain.gov/policy-team-32afa7145773
Mike Pence,Nick Ayers,1,"Ayers is ""one of [Pence's] top political advsiors,"" per Politico",http://www.politico.com/story/2017/01/new-pro-trump-political-group-readies-for-launch-233263
Mike Pence,Sarah Makin,1,Director of public engagement and intergovernmental affairs,https://www.documentcloud.org/documents/3535103-Makin-Sarah.html
Mike Pence,Marty Obst,1,"Obst is a ""top Pence aide,"" per Politico",http://www.politico.com/story/2017/01/new-pro-trump-political-group-readies-for-launch-233263
Mike Pence,Josh Pitcock,1,Chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Mike Pence,Jarrod P. Agen,1,Director of communications,https://www.documentcloud.org/documents/3534451-Agen-Jarrod.html
Mike Pence,Marc Lotter,1,Press secretary,https://www.documentcloud.org/documents/3535104-Lotter-Marc.html
Jarrod P. Agen,Rick Snyder,1,Former chief of staff,https://www.documentcloud.org/documents/3534451-Agen-Jarrod.html
Thomas E. Wheeler,Jeff Sessions,1,Sessions appointed Wheeler to Deputy Assistant Attorney General. Wheeler was also appointed head of the DOJ's Civil Rights Division as an Acting Assistant Attorney General.,https://www.nytimes.com/2017/02/28/magazine/jeff-sessions-stephen-bannon-justice-department.html?_r=0 | https://www.buzzfeed.com/zoetillman/heres-who-is-running-the-justice-department-right-now | https://www.justice.gov/crt
Steven Mnuchin,George Soros,1,Mnuchin worked for Soros' fund,http://www.vanityfair.com/news/2016/11/george-soros-declares-war-on-trump
Steven Mnuchin,Edward Lampert,1,Former college roommates; Mnuchin has a position in an entity connected to Lampert,https://www.washingtonpost.com/news/wonk/wp/2017/01/19/treasury-nominee-initially-omitted-more-than-100-million-from-disclosures-democratic-memo-shows/?postshare=3221484835948504&tid=ss_tw&utm_term=.e7b4eb5ed0a8
Eric Trump,Felipe Yaryura,1,The Argentine real estate developer is said to be friends with the Trump family; Yaryura and Eric Trump were photographed together at Trump's election night party,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
Eric Trump,Donald Trump Jr.,1,Siblings,General knowledge
Donald Trump Jr.,Jason D. Greenblatt,1,Business partners,Nexis
Donald Trump Jr.,Vanessa Trump,1,Married,General knowledge
Donald Trump Jr.,Bonnie Haydon,1,Father-in-law/son-in-law,Nexis — NYT 11/19/2006
Donald Trump Jr.,Russell Flicker,1,Business partners,Nexis
Donald Trump Jr.,Andriy Zaika,1,"Met in 2006, when Zaika was head of the Ukrainian Construction Consortium",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Viktor Tkachuk,Donald Trump Jr.,1,"Met in 2006, when Tkachuk was an adviser to the Ukrainian president",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Felipe Yaryura,Donald Trump Jr.,1,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
Bernard R. Diamond,Donald Trump Jr.,1,Business partners,Nexis
Don Mcgahn,Aaron Schock,1,McGahn provided legal services for Schock,https://www.documentcloud.org/documents/3535093-McGahn-Donald-F.html
Don Mcgahn,David Morrell,1,Associate Counsel to the President,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Don Mcgahn,Greg Katsas,1,Deputy Counsel to the President,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Don Mcgahn,Annie Donaldson,1,"Special Counsel to the President, Chief of Staff to the White House Counsel",http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Don Mcgahn,Shannon Mcgahn,1,Married,General knowledge
Don Mcgahn,Blake Delaplane,1,Special assistant to the White House Counsel,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Don Mcgahn,James Burnham,1,Senior associate counsel,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Annie Donaldson,Aaron Schock,1,Provided legal services for,https://www.documentcloud.org/documents/3534049-Donaldson-Ann.html
Andy Puzder,William P. Foley,1,"Worked together on deal to turn around debts of Carl's Jr. founder, which was a major success in Puzder's career",http://www.insidesources.com/meet-the-fast-food-ceo-trump-picked-as-labor-secretary/
Harold G. Hamm,Scott Pruitt,1,"Hamm, chief executive of Continental Energy, was Pruitt's 2013 re-election co-chair",http://www.cnbc.com/2016/12/08/scott-pruitt-is-great-pick-to-lead-epa-says-pruitt-ally-harold-hamm.html
Jessica Ditto,Matthew Griswold Bevin,1,Ditto was the communications director for Bevin's office,https://www.documentcloud.org/documents/3534035-Ditto-Jessica.html
Catherine Bray Griffith,Wells Griffith,1,Married,https://www.theguardian.com/commentisfree/2017/feb/02/corporate-dark-money-power-atlantic-lobbyists-brexit
Christine Chao,Elaine Chao,1,Siblings,https://www.propublica.org/article/familys-shipping-company-could-pose-problems-for-trumps-transportation-pick
Christine Chao,James S.C. Chao,1,Parent/child,https://www.propublica.org/article/familys-shipping-company-could-pose-problems-for-trumps-transportation-pick
James S.C. Chao,Elaine Chao,1,Parent/child,https://www.propublica.org/article/familys-shipping-company-could-pose-problems-for-trumps-transportation-pick
James S.C. Chao,Angela Chao,1,Parent/child,https://www.propublica.org/article/familys-shipping-company-could-pose-problems-for-trumps-transportation-pick
Elaine Chao,Angela Chao,1,Siblings,https://www.propublica.org/article/familys-shipping-company-could-pose-problems-for-trumps-transportation-pick
Mitch Mcconnell,Elaine Chao,1,Married,http://elainelchao.com/biography/
Julia Hahn,Stephen Miller,1,"Miller sent tips to Hahn, a Breitbart reporter",http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Yury Zaytsev,Sergei Millian,1,Went on trip to Moscow together in 2011,https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
Sergei Millian,Vladimir Putin,1,Putin awarded Millian a prize in Jan. 2015 for developing ties between Russia and American businesspeople,https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
Jack Weisselberg,Allen Weisselberg,1,Parent/child,https://www.nytimes.com/2016/05/24/business/dealbook/donald-trump-relationship-bankers.html?_r=0
Xi Jinping,Terry Branstad,1,"Brandstad and the Chinese president have a ""friendship dating back to 1985,"" per Bloomberg Politics",https://www.bloomberg.com/politics/articles/2016-12-07/trump-said-to-pick-iowa-governor-branstad-as-china-ambassador
John Gore,Jeff Sessions,1,Deputy assistant AG for Civil Rights,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Jeff Sessions,Ajit Pai,1,Former deputy chief counsel,https://www.fcc.gov/about/leadership/ajit-pai
Stephen Miller,Jeff Sessions,1,Former chief of communications,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Garrett Murch,Jeff Sessions,1,Former communications advisor,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992 | https://www.linkedin.com/in/garrett-murch-9800b928
Michael Murray,Jeff Sessions,1,Counsel to the Deputy Attorney General,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Rick Dearborn,Jeff Sessions,1,Former chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
John Kyl,Jeff Sessions,1,"Kyl was Sessions's ""sherpa"" for confirmation hearings",http://www.azcentral.com/story/news/politics/azdc/2017/01/13/jon-kyl-helping-jeff-sessions-confirmation-hearing-attorney-general/96558516/
Seryl Kushner,Nicole Kushner Meyer,1,Parent/child,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Dara Orbach,Seryl Kushner,1,Parent/child,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Joshua Kushner,Nicole Kushner Meyer,1,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Dara Orbach,Nicole Kushner Meyer,1,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Joseph Meyer,Nicole Kushner Meyer,1,Married,http://nymag.com/daily/intelligencer/2013/01/jared-kushner-names-brother-in-law-observer-ceo.html
Dara Orbach,Joshua Kushner,1,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Bob Dole,Robert Lighthizer,1,Lighthizer was Dole's campaign treasurer in 1996,http://www.pbs.org/newshour/rundown/trump-nominates-robert-lighthizer-u-s-trade-representative/
Ben Carson,Barry Bennett,1,Bennet was Carson's presidential campaign manager,https://www.washingtonpost.com/news/post-politics/wp/2016/01/22/former-carson-campaign-manager-barry-bennett-is-quietly-advising-trumps-top-aides/?utm_term=.795d808dc8d2
Pam Mulvaney,Mick Mulvaney,1,Married,http://www.usnews.com/news/articles/2011/02/22/10-things-you-didnt-know-about-mick-mulvaney
Mitch Mcconnell,W.E.“ed” Bosarge,1,Major campaign donor,http://www.politico.com/tipsheets/prescription-pulse/2016/05/new-legislation-on-stem-cells-raises-alarm-214069
Madeleine Westerhout,Rhona Graff Riccio,1,"Riccio helped train Westerhout, per the New York Times",https://www.nytimes.com/2017/03/27/us/rhona-graff-donald-trump.html?_r=0
Rhona Graff Riccio,Lucius Joseph Riccio,1,Married,General knowledge
Rick Perry,Peter Holt,1,"Perry consulted for Holt, after governorship to which Holt gave money",https://www.texastribune.org/2015/07/10/perry-consulting-big-donor-disclosures/
Rick Perry,Anita Thigpen Perry,1,Married,http://thehill.com/policy/healthcare/182135-perrys-addition-to-the-white-house-his-wife-health-advocate-anita-perry
Nicolas Sarkozy,Thomas J. Barrack Jr.,1,Sarkozy awarded France's Chevalier de la Légion d'Honneur to Barrack,http://colonyinc.com/about#fulltext4
Yousef Al-otaiba,Thomas J. Barrack Jr.,1,"""Friend"" per the New York Times",https://www.nytimes.com/2017/02/11/us/politics/jared-kushner-israel.html?smid=tw-nytimesworld&smtyp=cur&_r=1
Aydin Dogan,Mehmet Ali Yalcindag,1,Father-in-law/son-in-law,http://www.hurriyetdailynews.com/a-major-shake-up-at-dogan-media.aspx?PageID=238&NID=104450&NewsCatID=345
Vladimir Putin,Alexander Novak,1,Energy minister,https://www.washingtonpost.com/news/josh-rogin/wp/2016/12/13/inside-rex-tillersons-long-romance-with-russia/?utm_term=.37f238834d71
Igor Sechin,Vladimir Putin,1,Former deputy prime minister,https://www.ft.com/content/a8f24922-cef4-11e3-9165-00144feabdc0
Rex Tillerson,Vladimir Putin,1,"In 2012, Putin awarded Order of Friendship to Tillerson",http://www.politico.com/magazine/story/2016/12/rex-tillerson-exxon-putin-russia-ties-friend-214515
Lev Leviev,Vladimir Putin,1,"Described him as a ""true friend""",http://www.nytimes.com/2007/09/16/magazine/16Leviev-t.html
Sergey Kislyak,Michael Flynn,1,"""in frequent contact,"" per Jan. 13, 2017 Associated Press article",http://bigstory.ap.org/article/ba462d64c12d4692b8381cb7076d34ab/ap-source-trump-aide-frequent-contact-russia-envoy
Rex Tillerson,Alexander Novak,1,"""Tillerson lowered his profile in Russia but continued to meet with non-sanctioned high-level Russian officials in Moscow, including Russian Energy Minister Alexander Novak,"" per the Washington Post",https://www.washingtonpost.com/news/josh-rogin/wp/2016/12/13/inside-rex-tillersons-long-romance-with-russia/?utm_term=.37f238834d71
Rex Tillerson,Igor Sechin,1,"""Tillerson, the CEO of ExxonMobil, has a close and personal relationship with Sechin dating back over a decade,"" per the Washington Post",https://www.washingtonpost.com/news/josh-rogin/wp/2016/12/13/inside-rex-tillersons-long-romance-with-russia/?utm_term=.37f238834d71
Aras Agalarov,Emin Agalarov,1,Parent/child,https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html?utm_term=.0cb035ebfc6b
Chris Christie,Bill Stepien,1,Former deputy chief of staff,http://www.politico.com/story/2017/01/bill-stepien-donald-trump-christie-233199
Chris Christie,David Wildstein,1,"Christie and Wildstein went to high school together, and Christie appointed Wildstein to a director position at the Port Authority",http://nymag.com/daily/intelligencer/2016/09/david-wildstein-chris-christie-bridgegate-trial.html
Stephen B. Meister,Jason D. Meister,1,Parent/child,https://therealdeal.com/issues_articles/whos-jumping-ship/
Stephen Miller,Sam Nunberg,1,Friends,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Susan Pompeo,Michael Pompeo,1,Married,http://pompeo.house.gov/biography/
David Horowitz,Stephen Miller,1,"""Miller considers Horowitz a mentor,"" per Politico",http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Caroline May,Stephen Miller,1,"Miller sent tips to May, a Breitbart reporter",http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Tucker Carlson,Stephen Miller,1,Miller set up meeting between Carlson and Sessions,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Michelle Bachmann,Stephen Miller,1,Worked for her,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Melania Trump,Lindsey Reynolds,1,Chief of staff,http://www.politico.com/story/2017/02/donald-trump-challenges-governing-presidency-234879
Stephanie Winston Wolkoff,Melania Trump,1,Senior adviser,http://www.politico.com/story/2017/02/donald-trump-challenges-governing-presidency-234879
Sam Brownback,Ajit Pai,1,Former chief counsel,https://www.fcc.gov/about/leadership/ajit-pai
